Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"Kepong, Kuala Lumpur",410000.0,4,2,1,Condominium,Land area : 1250 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur",350000.0,3,2,1,Apartment,Built-up : 830 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur",680000.0,0,1,1,Condominium,Built-up : 441 sq. ft.,Fully Furnished
"Kepong, Kuala Lumpur",410000.0,4,2,1,Condominium,Land area : 1250 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1200000.0,4,5,3,Condominium,"Built-up : 1,782 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",890000.0,2,2,1,Condominium,"Built-up : 1,206 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",888000.0,2,2,1,Condominium,"Built-up : 1,070 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",1150000.0,3,2,1,Condominium,Built-up : 926 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur",830000.0,3,2,1,Condominium,"Built-up : 1,228 sq. ft.",Fully Furnished
"Ampang Hilir, Kuala Lumpur",570000.0,0,1,1,Condominium,Built-up : 502 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur",850000.0,3,2,1,Condominium,"Built-up : 1,268 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur",2900000.0,7,4,6,Luxury,Land area : 6000 sq. ft.,Partly Furnished
"Sentul, Kuala Lumpur",1250000.0,4,3,2,Condominium,"Built-up : 1,800 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur",700000.0,3,3,2,Condominium,"Built-up : 1,231 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur",650000.0,3,3,2,Condominium,"Built-up : 1,231 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur",1250000.0,4,3,2,Condominium,"Built-up : 1,800 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur",13800000.0,6,6,4,Luxury,Land area : 7500 sq. ft.,Partly Furnished
"Taman Desa, Kuala Lumpur",2500000.0,5,5,2,Landed,Land area : 3000 sq. ft.,Fully Furnished
"Taman Desa, Kuala Lumpur",2500000.0,5,5,2,Landed,Land area : 3000 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur",276000.0,3,2,1,Apartment,Land area : 772 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur",299000.0,3,1,1,Apartment,Land area : 820 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",630000.0,4,2,1,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",550000.0,2,2,1,Condominium,Built-up : 852 sq. ft.,Partly Furnished
"OUG, Kuala Lumpur",1350000.0,5,3,4,Landed,Land area : 3000 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",345000.0,3,2,1,Condominium,Built-up : 950 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur",555000.0,3,2,2,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",650000.0,4,2,2,Condominium,"Built-up : 1,300 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",950000.0,3,2,2,Condominium,"Built-up : 1,218 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",600000.0,2,2,1,Condominium,Built-up : 791 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur",500000.0,2,1,1,Condominium,Built-up : 667 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur",1280000.0,3,2,2,Landed,Land area : 24X80 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur",1200000.0,6,5,3,Condominium,"Built-up : 2,070 sq. ft.",Partly Furnished
"Desa Petaling, Kuala Lumpur",268000.0,3,2,1,Apartment,Land area : 826 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur",900000.0,2,2,1,Condominium,Built-up : 997 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur",4300000.0,5,5,3,Condominium,"Built-up : 4,695 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur",520000.0,4,3,2,Landed,Land area : 16x60 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",970000.0,4,4,2,Condominium,"Built-up : 1,379 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur",1250000.0,6,4,3,Condominium,"Built-up : 2,353 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur",740000.0,4,3,2,Landed,Land area : 22x70 sq. ft.,Partly Furnished
"Jalan Kuching, Kuala Lumpur",420000.0,3,2,1,Condominium,"Built-up : 1,050 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur",499000.0,4,2,2,Condominium,"Built-up : 1,313 sq. ft.",Partly Furnished
"Ampang, Kuala Lumpur",1150000.0,5,5,2,Condominium,"Built-up : 2,300 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur",1100000.0,4,4,2,Condominium,"Built-up : 1,381 sq. ft.",Fully Furnished
"Brickfields, Kuala Lumpur",830000.0,2,2,1,Condominium,"Built-up : 1,195 sq. ft.",Fully Furnished
"Batu Caves, Kuala Lumpur",168000.0,3,2,1,Apartment,Built-up : 776 sq. ft.,Partly Furnished
"Brickfields, Kuala Lumpur",1000000.0,3,3,2,Condominium,"Built-up : 1,667 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur",499000.0,3,2,1,Condominium,"Built-up : 1,326 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",3160000.0,6,6,4,Landed,"Built-up : 3,785 sq. ft.",Partly Furnished
"Jalan Ipoh, Kuala Lumpur",650000.0,5,4,1,Condominium,"Built-up : 1,504 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",3000000.0,6,6,4,Landed,Land area : 4200 sq. ft.,Unfurnished
"Mont Kiara, Kuala Lumpur",2000000.0,3,3,2,Condominium,"Built-up : 4,125 sq. ft.",Partly Furnished
"Sri Hartamas, Kuala Lumpur",3800000.0,6,5,4,Landed,Land area : 3950 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",2000000.0,2,2,1,Condominium,"Built-up : 1,087 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1195000.0,2,2,1,Condominium,"Built-up : 1,950 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1120000.0,1,1,1,Condominium,Built-up : 751 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",2600000.0,3,2,2,Condominium,"Built-up : 1,421 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",3470000.0,4,4,3,Condominium,"Built-up : 2,066 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",1300800.0,1,1,2,Condominium,Built-up : 925 sq. ft.,Fully Furnished
"Jalan Ipoh, Kuala Lumpur",645000.0,4,3,1,Condominium,"Built-up : 1,540 sq. ft.",Fully Furnished
"Jalan Ipoh, Kuala Lumpur",610000.0,3,2,1,Condominium,"Built-up : 1,450 sq. ft.",Fully Furnished
"Jalan Ipoh, Kuala Lumpur",630000.0,5,4,1,Condominium,"Built-up : 1,585 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",2300000.0,5,4,3,Condominium,"Built-up : 3,000 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",608000.0,3,2,1,Condominium,"Built-up : 1,200 sq. ft.",Fully Furnished
"Jalan Kuching, Kuala Lumpur",450000.0,5,3,1,Condominium,"Built-up : 2,084 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",285000.0,3,2,1,Condominium,Built-up : 869 sq. ft.,Partly Furnished
"Jalan Kuching, Kuala Lumpur",265000.0,3,2,1,Condominium,Built-up : 869 sq. ft.,Partly Furnished
"Jalan Kuching, Kuala Lumpur",299000.0,3,2,1,Condominium,"Built-up : 1,019 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur",790000.0,4,3,4,Landed,Land area : 1800 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur",2700000.0,6,5,4,Landed,Land area : 4400 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur",3900000.0,7,5,4,Landed,Land area : 4900 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur",11000000.0,7,5,6,Luxury,Land area : 17000 sq. ft.,Unfurnished
"Sungai Besi, Kuala Lumpur",1450000.0,5,4,3,Vacant Land & Plots,Land area : 20x80 sq. ft.,Partly Furnished
"Bangsar South, Kuala Lumpur",353000.0,2,1,1,Apartment,Built-up : 450 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1250000.0,3,3,2,Condominium,"Built-up : 1,707 sq. ft.",Unfurnished
"Bukit Jalil, Kuala Lumpur",630000.0,3,2,2,Townhouse,"Built-up : 1,189 sq. ft.",Partly Furnished
"OUG, Kuala Lumpur",625000.0,3,3,2,Townhouse,"Built-up : 1,680 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur",550000.0,2,1,1,Condominium,Built-up : 985 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",438000.0,3,2,1,Condominium,"Built-up : 1,000 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",928000.0,3,3,2,Condominium,"Built-up : 1,523 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1080000.0,3,3,2,Condominium,"Built-up : 1,875 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1380000.0,4,4,4,Condominium,"Built-up : 2,638 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1280000.0,4,4,3,Condominium,"Built-up : 2,128 sq. ft.",Partly Furnished
"Bukit Bintang, Kuala Lumpur",900000.0,3,3,1,Condominium,"Built-up : 1,066 sq. ft.",Fully Furnished
"Bangsar South, Kuala Lumpur",580000.0,2,1,1,Condominium,Built-up : 648 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur",798000.0,4,3,1,Condominium,"Built-up : 1,483 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur",435000.0,2,2,1,Condominium,Built-up : 916 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",680000.0,2,2,2,Condominium,"Built-up : 1,164 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",989000.0,4,3,2,Condominium,"Built-up : 1,710 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",867000.0,4,3,2,Condominium,"Built-up : 1,663 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",2238000.0,6,6,6,Condominium,"Built-up : 5,672 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur",870000.0,3,2,1,Condominium,"Built-up : 1,248 sq. ft.",Fully Furnished
"Wangsa Maju, Kuala Lumpur",349000.0,2,1,1,Condominium,Built-up : 657 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur",430000.0,3,2,1,Condominium,"Built-up : 1,021 sq. ft.",Unfurnished
"KL City, Kuala Lumpur",480000.0,4,2,1,Condominium,"Built-up : 1,065 sq. ft.",Unfurnished
"Setapak, Kuala Lumpur",519600.0,3,2,1,Condominium,"Built-up : 1,059 sq. ft.",Unfurnished
"KL City, Kuala Lumpur",450000.0,4,2,1,Condominium,"Built-up : 1,065 sq. ft.",Unfurnished
"KL City, Kuala Lumpur",420000.0,3,2,2,Condominium,Built-up : 926 sq. ft.,Unfurnished
"Pandan Perdana, Kuala Lumpur",290000.0,1,1,1,Condominium,Built-up : 450 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur",470000.0,3,2,1,Condominium,"Built-up : 1,000 sq. ft.",Unfurnished
"Keramat, Kuala Lumpur",550000.0,3,2,2,Condominium,"Built-up : 1,003 sq. ft.",Unfurnished
"Pandan Perdana, Kuala Lumpur",290000.0,1,1,1,Condominium,Built-up : 450 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur",724000.0,4,3,2,Condominium,"Built-up : 1,185 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur",784000.0,3,2,3,Condominium,"Built-up : 1,800 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur",360000.0,3,2,1,Apartment,"Built-up : 1,010 sq. ft.",Partly Furnished
"KL City, Kuala Lumpur",1967000.0,3,3,1,Condominium,"Built-up : 1,157 sq. ft.",Partly Furnished
"Sri Hartamas, Kuala Lumpur",1450000.0,4,3,2,Landed,Land area : 1760 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur",2600000.0,5,3,2,Landed,"Built-up : 3,600 sq. ft.",Partly Furnished
"Batu Caves, Kuala Lumpur",400000.0,3,2,2,Condominium,"Built-up : 1,130 sq. ft.",Partly Furnished
"Bandar Menjalara, Kuala Lumpur",340000.0,3,2,2,Condominium,Built-up : 803 sq. ft.,Partly Furnished
"Batu Caves, Kuala Lumpur",380000.0,3,2,2,Condominium,"Built-up : 1,092 sq. ft.",Partly Furnished
"Brickfields, Kuala Lumpur",1100000.0,4,3,2,Condominium,"Built-up : 1,920 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur",710000.0,0,1,1,Condominium,Built-up : 441 sq. ft.,Fully Furnished
"Damansara Heights, Kuala Lumpur",1250000.0,4,2,2,Condominium,"Built-up : 1,980 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",980000.0,4,3,2,Condominium,"Built-up : 1,828 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",1100000.0,4,4,2,Condominium,"Built-up : 2,208 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",790400.0,2,2,2,Condominium,Built-up : 886 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",454800.0,2,1,1,Condominium,Built-up : 494 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur",1450000.0,2,2,2,Condominium,"Built-up : 1,292 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",880000.0,2,2,1,Condominium,"Built-up : 1,070 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur",1680000.0,5,4,6,Landed,Land area : 54 x 70 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",850000.0,3,2,1,Townhouse,"Built-up : 1,300 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",348000.0,3,2,1,Apartment,Built-up : 850 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur",1740000.0,1,1,1,Condominium,Built-up : 904 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur",3162000.0,3,3,2,Condominium,"Built-up : 1,851 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1600000.0,3,3,1,Condominium,"Built-up : 1,619 sq. ft.",Fully Furnished
"Sri Hartamas, Kuala Lumpur",3200000.0,5,6,3,Condominium,"Built-up : 3,983 sq. ft.",Partly Furnished
"Bukit Tunku (Kenny Hills), Kuala Lumpur",2200000.0,4,3,2,Condominium,"Built-up : 2,250 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",8800000.0,5,6,4,Condominium,"Built-up : 7,328 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1480000.0,4,4,2,Condominium,"Built-up : 3,103 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur",2480000.0,4,3,4,Landed,Land area : 22x75 sq. ft.,Partly Furnished
"Bukit Tunku (Kenny Hills), Kuala Lumpur",8800000.0,5,5,10,Luxury,Land area : 20561sf sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",1180000.0,4,3,2,Condominium,"Built-up : 1,600 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",4380000.0,4,4,2,Condominium,"Built-up : 3,789 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1500000.0,2,2,1,Condominium,"Built-up : 1,050 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",650000.0,3,2,1,Condominium,"Built-up : 1,028 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",2700000.0,5,6,3,Condominium,"Built-up : 3,400 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1500000.0,4,4,2,Condominium,"Built-up : 1,862 sq. ft.",Fully Furnished
"Ampang, Kuala Lumpur",1300000.0,4,4,2,Condominium,"Built-up : 1,900 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1250000.0,2,2,2,Condominium,"Built-up : 1,075 sq. ft.",Fully Furnished
"Damansara Heights, Kuala Lumpur",4650000.0,6,5,6,Luxury,Land area : 4400 sq. ft.,Partly Furnished
"Sri Hartamas, Kuala Lumpur",3600000.0,5,5,2,Landed,Land area : 26x92 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur",2150000.0,4,3,4,Landed,Land area : 22x75 sq. ft.,Partly Furnished
"Sri Hartamas, Kuala Lumpur",2500000.0,5,5,4,Landed,"Built-up : 2,884 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1900000.0,5,5,2,Townhouse,"Built-up : 2,700 sq. ft.",Partly Furnished
"Bangsar South, Kuala Lumpur",990000.0,3,2,1,Condominium,"Built-up : 1,000 sq. ft.",Partly Furnished
"Sri Hartamas, Kuala Lumpur",2100000.0,5,5,4,Landed,Land area : 22x75 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",920000.0,4,3,2,Condominium,"Built-up : 1,600 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur",3500000.0,5,5,6,Luxury,Land area : 6000 sq. ft.,Unfurnished
"Mont Kiara, Kuala Lumpur",780000.0,3,2,1,Condominium,"Built-up : 1,268 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur",4100000.0,6,6,6,Landed,Land area : 3700 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur",7245000.0,5,4,3,Condominium,"Built-up : 4,025 sq. ft.",Partly Furnished
"Bukit Bintang, Kuala Lumpur",3200000.0,4,4,2,Condominium,"Built-up : 2,013 sq. ft.",Partly Furnished
"Bukit Bintang, Kuala Lumpur",4200000.0,4,4,2,Condominium,"Built-up : 2,013 sq. ft.",Fully Furnished
"Bukit Bintang, Kuala Lumpur",3900000.0,2,2,1,Condominium,"Built-up : 2,405 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",1100000.0,1,1,1,Condominium,Built-up : 627 sq. ft.,Fully Furnished
"Sri Hartamas, Kuala Lumpur",3300000.0,6,5,4,Landed,Land area : 40x95 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",1900000.0,4,4,2,Condominium,"Built-up : 3,103 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1750000.0,4,4,2,Condominium,"Built-up : 3,103 sq. ft.",Partly Furnished
"Bukit Bintang, Kuala Lumpur",2460000.0,2,2,1,Condominium,"Built-up : 1,234 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",5250000.0,4,5,2,Condominium,"Built-up : 3,750 sq. ft.",Partly Furnished
"Bukit Tunku (Kenny Hills), Kuala Lumpur",1600000.0,4,3,2,Condominium,"Built-up : 2,150 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur",1550000.0,5,4,2,Condominium,"Built-up : 2,049 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur",320000.0,4,2,1,Condominium,"Built-up : 1,180 sq. ft.",Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",600000.0,2,2,1,Condominium,Built-up : 785 sq. ft.,Unfurnished
"Kepong, Kuala Lumpur",430000.0,3,3,2,Condominium,"Built-up : 1,073 sq. ft.",Unfurnished
"Kepong, Kuala Lumpur",450000.0,3,3,2,Condominium,"Built-up : 1,073 sq. ft.",Unfurnished
"Sentul, Kuala Lumpur",480000.0,3,2,1,Condominium,Built-up : 948 sq. ft.,Unfurnished
"City Centre, Kuala Lumpur",630000.0,4,2,1,Condominium,"Built-up : 1,362 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur",1050000.0,4,4,2,Condominium,"Built-up : 1,727 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",1380000.0,4,4,2,Condominium,"Built-up : 2,948 sq. ft.",Partly Furnished
"Jalan Ipoh, Kuala Lumpur",480000.0,3,2,1,Condominium,"Built-up : 1,011 sq. ft.",Partly Furnished
"Jalan Ipoh, Kuala Lumpur",530000.0,3,2,2,Condominium,"Built-up : 1,011 sq. ft.",Partly Furnished
"Jalan Ipoh, Kuala Lumpur",620000.0,3,2,2,Condominium,"Built-up : 1,113 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",430000.0,3,2,2,Condominium,"Built-up : 1,175 sq. ft.",Fully Furnished
"Kuchai Lama, Kuala Lumpur",559800.0,3,2,2,Condominium,"Built-up : 1,120 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur",368000.0,3,2,2,Condominium,Built-up : 947 sq. ft.,Unfurnished
"Dutamas, Kuala Lumpur",1250000.0,5,4,2,Condominium,"Built-up : 2,800 sq. ft.",Fully Furnished
"Ampang, Kuala Lumpur",1088000.0,2,2,1,Condominium,"Built-up : 1,066 sq. ft.",Partly Furnished
"Ampang, Kuala Lumpur",760000.0,1,1,1,Condominium,Built-up : 790 sq. ft.,Partly Furnished
"Brickfields, Kuala Lumpur",630000.0,2,2,1,Condominium,Built-up : 872 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur",979999.0,4,3,2,Condominium,"Built-up : 1,574 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur",298999.0,2,2,1,Condominium,Built-up : 958 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur",568000.0,2,2,2,Condominium,"Built-up : 1,032 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",535000.0,4,2,2,Condominium,"Built-up : 1,080 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",670000.0,3,2,1,Condominium,"Built-up : 1,200 sq. ft.",Fully Furnished
"Jalan Kuching, Kuala Lumpur",940000.0,4,3,2,Condominium,"Built-up : 1,800 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur",160000.0,2,1,1,Apartment,Built-up : 603 sq. ft.,Unfurnished
"Bukit Jalil, Kuala Lumpur",559000.0,4,2,2,Condominium,"Built-up : 1,404 sq. ft.",Fully Furnished
"Kuchai Lama, Kuala Lumpur",699999.0,4,3,2,Condominium,"Built-up : 1,474 sq. ft.",Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",383000.0,3,2,1,Condominium,"Built-up : 1,119 sq. ft.",Fully Furnished
"Kuchai Lama, Kuala Lumpur",579999.0,4,3,1,Condominium,"Built-up : 1,600 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",700000.0,4,4,2,Condominium,"Built-up : 1,362 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",390000.0,3,2,1,Apartment,Built-up : 952 sq. ft.,Partly Furnished
"Sungai Besi, Kuala Lumpur",613000.0,3,2,2,Condominium,"Built-up : 1,106 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur",2006000.0,2,1,1,Condominium,"Built-up : 1,194 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1300000.0,2,2,1,Condominium,"Built-up : 1,012 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",850000.0,1,1,1,Condominium,Built-up : 673 sq. ft.,Fully Furnished
"Taman Desa, Kuala Lumpur",698000.0,3,2,1,Condominium,"Built-up : 1,157 sq. ft.",Fully Furnished
"Segambut, Kuala Lumpur",649000.0,4,3,2,Condominium,"Built-up : 1,577 sq. ft.",Partly Furnished
"Segambut, Kuala Lumpur",700000.0,4,3,3,Condominium,"Built-up : 1,643 sq. ft.",Fully Furnished
"Segambut, Kuala Lumpur",720000.0,4,3,3,Condominium,"Built-up : 1,636 sq. ft.",Fully Furnished
"Segambut, Kuala Lumpur",780000.0,4,3,2,Condominium,"Built-up : 1,893 sq. ft.",Partly Furnished
"Pantai, Kuala Lumpur",660000.0,3,2,1,Condominium,"Built-up : 1,206 sq. ft.",Fully Furnished
"Pantai, Kuala Lumpur",488000.0,1,1,1,Condominium,Built-up : 732 sq. ft.,Partly Furnished
"Sentul, Kuala Lumpur",470000.0,3,2,1,Condominium,"Built-up : 1,230 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur",630000.0,4,2,2,Landed,"Built-up : 1,650 sq. ft.",Unfurnished
"Damansara Heights, Kuala Lumpur",2400000.0,5,4,2,Condominium,Land area : 3300 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur",1080000.0,2,1,2,Condominium,"Built-up : 1,034 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur",1990000.0,4,4,2,Condominium,"Built-up : 1,851 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur",1380000.0,2,2,2,Condominium,"Built-up : 1,292 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur",2950000.0,6,6,5,Landed,"Built-up : 3,500 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur",2700000.0,4,4,3,Landed,"Built-up : 3,211 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur",1350000.0,4,3,3,Condominium,"Built-up : 1,701 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",858000.0,4,3,2,Condominium,"Built-up : 1,457 sq. ft.",Partly Furnished
"Salak Selatan, Kuala Lumpur",725000.0,3,2,2,Condominium,"Built-up : 1,121 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur",690000.0,4,3,4,Landed,Land area : 20x65 sq. ft.,Fully Furnished
"Cheras, Kuala Lumpur",1080000.0,6,3,3,Landed,"Built-up : 4,000 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur",980000.0,3,2,2,Condominium,"Built-up : 1,719 sq. ft.",Unfurnished
"Dutamas, Kuala Lumpur",1350000.0,4,4,3,Condominium,"Built-up : 2,400 sq. ft.",Unfurnished
"Dutamas, Kuala Lumpur",800000.0,3,2,2,Condominium,"Built-up : 1,253 sq. ft.",Unfurnished
"Dutamas, Kuala Lumpur",920000.0,4,3,2,Condominium,"Built-up : 1,467 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",690000.0,3,2,1,Condominium,"Built-up : 1,238 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur",520000.0,3,2,2,Condominium,Built-up : 935 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur",230000.0,3,2,1,Apartment,"Built-up : 1,000 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",2100000.0,4,4,2,Condominium,"Built-up : 2,208 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur",550000.0,3,3,1,Condominium,"Built-up : 1,418 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1730000.0,3,2,2,Condominium,"Built-up : 1,445 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",4300000.0,6,6,3,Condominium,"Built-up : 3,834 sq. ft.",Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",6000000.0,5,4,4,Luxury,Land area : 8000 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",7800000.0,9,9,4,Luxury,Land area : 7200 sq. ft.,Partly Furnished
