Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size (sq. ft.),Price_per_sqft,PropertyType_Furnishing,Furnishing_Fully Furnished,Furnishing_Partly Furnished,Furnishing_Unfurnished
"Desa ParkCity, Kuala Lumpur",1350000.0,2,2,2,1,1292.0,6.952625045441137,12911,0,1,0
"KLCC, Kuala Lumpur",2300000.0,1,2,1,1,1023.0,7.718369598669984,12911,0,1,0
"KLCC, Kuala Lumpur",1900000.0,2,2,1,1,915.0,7.6389218418865905,12911,0,1,0
"KLCC, Kuala Lumpur",1450000.0,2,2,2,1,1090.0,7.193892580908426,8694,1,0,0
"KLCC, Kuala Lumpur",1300000.0,1,1,1,1,925.0,7.248792370357404,12911,0,1,0
"KLCC, Kuala Lumpur",3600000.0,3,4,2,1,3897.0,6.829564012606988,12911,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",1630000.0,4,3,2,3,22.0,11.213061616266062,2861,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",5350000.0,6,5,3,4,7200.0,6.612115703490957,843,0,1,0
"Bukit Jalil, Kuala Lumpur",1050000.0,5,4,4,1,1772.0,6.386122787587395,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",1200000.0,6,4,4,1,1930.0,6.434163874209682,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",900000.0,5,3,2,1,1513.0,6.389980028143607,12911,0,1,0
"Damansara Heights, Kuala Lumpur",2251800.0,3,4,2,1,1668.0,7.208600337960199,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",998000.0,6,5,4,3,1650.0,6.406629929805352,2861,0,1,0
"Mont Kiara, Kuala Lumpur",1550000.0,4,4,2,1,1496.0,6.944180026182648,12911,0,1,0
"Setapak, Kuala Lumpur",780000.0,3,3,2,1,1368.0,6.34769641044486,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",1380000.0,2,2,2,1,1292.0,6.974583166683181,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",1798000.0,4,3,2,3,2200.0,6.7071956884587145,2861,0,1,0
"KLCC, Kuala Lumpur",1268000.0,3,3,1,1,1619.0,6.6646634597481365,8694,1,0,0
"KLCC, Kuala Lumpur",2600000.0,4,4,3,1,2809.0,6.8315179773074055,8694,1,0,0
"KLCC, Kuala Lumpur",4200000.0,4,4,2,1,2195.0,7.557180240274172,12911,0,1,0
"KLCC, Kuala Lumpur",3330000.0,3,3,1,1,2789.0,7.085881661327824,8694,1,0,0
"KLCC, Kuala Lumpur",2600000.0,2,2,1,1,1184.0,7.694823468507038,8694,1,0,0
"KLCC, Kuala Lumpur",1950000.0,2,2,1,1,1076.0,7.502885832507184,12911,0,1,0
"Kepong, Kuala Lumpur",638000.0,4,2,4,3,27.0,10.070299015176358,2861,0,1,0
"KLCC, Kuala Lumpur",1400000.0,2,2,1,1,1050.0,7.196187070324464,8694,1,0,0
"Kepong, Kuala Lumpur",850000.0,4,3,2,3,22.0,10.561975057126181,2861,0,1,0
"Damansara Heights, Kuala Lumpur",6500000.0,6,5,4,4,7200.0,6.806583509130951,843,0,1,0
"Mont Kiara, Kuala Lumpur",1800000.0,4,4,2,1,1830.0,6.89224212724205,12911,0,1,0
"Bangsar, Kuala Lumpur",3800000.0,5,5,4,4,4067.0,6.840920409623992,843,0,1,0
"Segambut, Kuala Lumpur",635000.0,4,4,2,1,1643.0,5.959685219851641,12911,0,1,0
"KLCC, Kuala Lumpur",5070000.0,4,4,3,1,2142.0,7.769778520545026,12911,0,1,0
"KL City, Kuala Lumpur",1207000.0,0,1,1,1,685.0,7.474797023621053,12911,0,1,0
"KL City, Kuala Lumpur",1177000.0,2,1,1,1,717.0,7.404012536041351,12911,0,1,0
"Wangsa Maju, Kuala Lumpur",700000.0,3,2,2,1,1152.0,6.411225134351571,12911,0,1,0
"Mont Kiara, Kuala Lumpur",3785400.0,6,5,3,1,3907.0,6.87716861568029,12911,0,1,0
"KLCC, Kuala Lumpur",1300000.0,2,2,2,1,871.0,7.308902621229467,8694,1,0,0
"Sentul, Kuala Lumpur",960000.0,4,4,2,1,1488.0,6.471049148040832,2538,0,0,1
"KL City, Kuala Lumpur",490000.0,4,2,2,1,1065.0,6.133601702763348,2538,0,0,1
"Mont Kiara, Kuala Lumpur",4200000.0,6,5,3,1,3709.0,7.032960211302912,12911,0,1,0
"KLCC, Kuala Lumpur",1450000.0,2,1,1,1,1050.0,7.231252547114856,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",2380000.0,5,4,3,1,2454.0,6.878166981603089,8694,1,0,0
"Bukit Jalil, Kuala Lumpur",1210000.0,6,6,4,3,3400.0,5.877406183886082,2861,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",4995000.0,6,7,6,4,8113.0,6.424347884268339,843,0,1,0
"Mont Kiara, Kuala Lumpur",1900000.0,5,4,2,1,1830.0,6.946255892656991,12911,0,1,0
"KLCC, Kuala Lumpur",2700000.0,2,2,2,1,1195.0,7.7233033612863276,12911,0,1,0
"KLCC, Kuala Lumpur",6300000.0,4,4,2,1,2195.0,7.962471217869292,12911,0,1,0
"KLCC, Kuala Lumpur",1900000.0,3,2,1,1,915.0,7.6389218418865905,8694,1,0,0
"KLCC, Kuala Lumpur",3000000.0,5,5,3,1,3218.0,6.838679610850911,12911,0,1,0
"KLCC, Kuala Lumpur",1000000.0,1,1,1,1,751.0,7.194855624340748,12911,0,1,0
"KLCC, Kuala Lumpur",1000000.0,1,1,1,1,751.0,7.194855624340748,12911,0,1,0
"KLCC, Kuala Lumpur",2000000.0,3,2,1,1,1350.0,7.301472639381708,8694,1,0,0
"KLCC, Kuala Lumpur",6380000.0,4,4,2,1,2195.0,7.975085314529321,12911,0,1,0
"Batu Caves, Kuala Lumpur",676775.0,4,3,4,1,1265.0,6.284134161070802,12911,0,1,0
"Mont Kiara, Kuala Lumpur",1830000.0,5,4,2,1,1830.0,6.90875477931522,12911,0,1,0
"City Centre, Kuala Lumpur",1750000.0,3,3,1,1,1442.0,7.102163688753179,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",1780000.0,4,3,2,3,2400.0,6.610247312379065,533,1,0,0
"Bukit Jalil, Kuala Lumpur",1200000.0,6,4,4,1,1930.0,6.434163874209682,12911,0,1,0
"KLCC, Kuala Lumpur",2300000.0,1,2,1,1,1046.0,7.696145715500938,12911,0,1,0
"KLCC, Kuala Lumpur",2300000.0,1,1,2,1,1046.0,7.696145715500938,12911,0,1,0
"Mont Kiara, Kuala Lumpur",1600000.0,4,3,2,1,1878.0,6.748724589135817,12911,0,1,0
"Mont Kiara, Kuala Lumpur",1291000.0,6,4,3,1,2069.0,6.437708342853771,12911,0,1,0
"KLCC, Kuala Lumpur",880000.0,1,1,1,1,710.0,7.123218709298019,8694,1,0,0
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",655000.0,4,2,2,1,1094.0,6.39646336736181,12911,0,1,0
"Mont Kiara, Kuala Lumpur",1400000.0,4,4,2,1,1496.0,6.8425006369635755,12911,0,1,0
"KLCC, Kuala Lumpur",7975250.0,5,6,2,1,2975.0,7.894227195627106,8694,1,0,0
"Mont Kiara, Kuala Lumpur",1100000.0,3,2,2,1,1200.0,6.821834216474498,12911,0,1,0
"KLCC, Kuala Lumpur",1238000.0,2,2,1,1,736.0,7.428371944118155,12911,0,1,0
"Bangsar South, Kuala Lumpur",750000.0,2,2,1,1,823.0,6.81596901653862,12911,0,1,0
"Damansara Heights, Kuala Lumpur",2100000.0,4,4,2,1,2153.0,6.883855118226888,12911,0,1,0
"Mont Kiara, Kuala Lumpur",1500000.0,3,2,2,1,1200.0,7.1316985104669115,8694,1,0,0
"Mont Kiara, Kuala Lumpur",2300000.0,5,6,3,1,2702.0,6.74784625547081,12911,0,1,0
"KLCC, Kuala Lumpur",990000.0,4,3,2,1,1313.0,6.6267157317248095,8694,1,0,0
"KLCC, Kuala Lumpur",3960000.0,4,4,2,1,2195.0,7.498371397087102,12911,0,1,0
"KLCC, Kuala Lumpur",2700000.0,2,2,2,1,1184.0,7.732546937927979,8694,1,0,0
"KLCC, Kuala Lumpur",1900000.0,2,2,1,1,1087.0,7.466759498688792,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",5460000.0,8,9,6,3,7000.0,6.660575149839686,2861,0,1,0
"KLCC, Kuala Lumpur",2050000.0,4,5,2,1,2356.0,6.7697784147325475,8694,1,0,0
"Bangsar South, Kuala Lumpur",1121800.0,3,2,1,1,1200.0,6.841437397944489,8694,1,0,0
"KLCC, Kuala Lumpur",1506300.0,2,1,1,1,1020.0,7.298285891190982,8694,1,0,0
"Bangsar, Kuala Lumpur",1530000.0,4,3,2,1,2095.0,6.594837805447732,8694,1,0,0
"Ampang, Kuala Lumpur",3680000.0,7,8,4,4,6300.0,6.371828890559983,173,0,0,1
"KLCC, Kuala Lumpur",3600000.0,4,5,2,1,3897.0,6.829564012606988,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",1480000.0,5,4,2,1,1917.0,6.650330334826053,12911,0,1,0
"Bangsar South, Kuala Lumpur",1050000.0,3,2,2,1,1485.0,6.562543957451105,8694,1,0,0
"Klcc, Kuala Lumpur",1200019.0,2,2,1,1,577.0,7.64048639161873,12911,0,1,0
"Bukit Kiara, Kuala Lumpur",4988888.0,5,6,3,3,24.0,12.244674577534292,2861,0,1,0
"Mont Kiara, Kuala Lumpur",1820000.0,5,4,2,1,1830.0,6.9032808025520085,12911,0,1,0
"Mont Kiara, Kuala Lumpur",1420000.0,4,4,2,1,1499.0,6.854669008488109,12911,0,1,0
"Mont Kiara, Kuala Lumpur",1830000.0,5,4,2,1,1832.0,6.907663571720386,12911,0,1,0
"Bukit Kiara, Kuala Lumpur",4988888.0,6,6,3,3,24.0,12.244674577534292,2861,0,1,0
"KLCC, Kuala Lumpur",1680000.0,4,2,3,1,1159.0,7.279681151133596,8694,1,0,0
"KLCC, Kuala Lumpur",2210000.0,3,3,2,1,1502.0,7.294629648329583,8694,1,0,0
"KLCC, Kuala Lumpur",1420000.0,2,2,1,1,976.0,7.283391931009089,8694,1,0,0
"KLCC, Kuala Lumpur",3600000.0,5,5,2,1,3897.0,6.829564012606988,12911,0,1,0
"KLCC, Kuala Lumpur",1238000.0,2,2,1,1,736.0,7.428371944118155,12911,0,1,0
"KLCC, Kuala Lumpur",1139000.0,1,1,1,1,751.0,7.32491472369656,12911,0,1,0
"KLCC, Kuala Lumpur",2930000.0,2,2,2,1,1114.0,7.875180693024656,8694,1,0,0
"Damansara Heights, Kuala Lumpur",1620000.0,2,2,1,1,1194.0,7.213609178814645,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",1300000.0,3,3,2,1,1367.0,6.858551971690054,12911,0,1,0
"Country Heights Damansara, Kuala Lumpur",8000000.0,7,7,6,4,10600.0,6.627666942506083,843,0,1,0
"Damansara Heights, Kuala Lumpur",6500000.0,6,4,6,4,7880.0,6.716441125454644,843,0,1,0
"Bangsar, Kuala Lumpur",1600000.0,3,2,2,5,2400.0,6.503789046997708,205,0,1,0
"Desa ParkCity, Kuala Lumpur",1730000.0,4,3,2,1,1690.0,6.932124560334162,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",1500000.0,4,2,2,1,1346.0,7.0169800868382275,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",1500000.0,4,3,2,1,1400.0,6.977681048517689,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",1180000.0,3,3,2,1,1507.0,6.664425101637081,12911,0,1,0
"KLCC, Kuala Lumpur",2950000.0,4,4,2,1,2674.0,7.006891000762814,12911,0,1,0
"Bangsar South, Kuala Lumpur",490000.0,1,1,1,1,520.0,6.849392520300489,8694,1,0,0
"KLCC, Kuala Lumpur",3090000.0,2,2,2,1,1572.0,7.58408628438562,12911,0,1,0
"KLCC, Kuala Lumpur",1230000.0,4,4,2,1,1378.0,6.795255973882292,8694,1,0,0
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",350000.0,3,2,1,1,950.0,5.911937057563981,12911,0,1,0
"KLCC, Kuala Lumpur",1230000.0,1,1,1,1,850.0,7.277979196104931,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",1250000.0,3,2,2,1,1303.0,6.8672713892320205,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",2500000.0,4,5,3,3,22.0,11.640767636441394,2861,0,1,0
"Desa ParkCity, Kuala Lumpur",1100000.0,3,3,2,1,1378.0,6.68368422945961,2538,0,0,1
"Desa ParkCity, Kuala Lumpur",1980000.0,4,4,3,3,22.0,11.407576060361786,2861,0,1,0
"Bangsar, Kuala Lumpur",1300000.0,3,2,2,5,24.0,10.899839453451868,205,0,1,0
"Taman Melawati, Kuala Lumpur",2800000.0,5,6,4,4,5628.0,6.211628539563946,843,0,1,0
"KLCC, Kuala Lumpur",3600000.0,4,5,2,1,3897.0,6.829564012606988,12911,0,1,0
"KLCC, Kuala Lumpur",3900000.0,2,2,2,1,1636.0,7.77689699315652,12911,0,1,0
"KLCC, Kuala Lumpur",1300000.0,1,1,1,1,925.0,7.248792370357404,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",438000.0,3,2,1,0,1018.0,6.066700496384175,627,0,1,0
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",530000.0,4,2,1,1,900.0,6.379934195247452,12911,0,1,0
"Setiawangsa, Kuala Lumpur",590000.0,3,2,2,1,1196.0,6.203164948182798,12911,0,1,0
"KLCC, Kuala Lumpur",1000000.0,1,1,1,1,751.0,7.194855624340748,12911,0,1,0
"KLCC, Kuala Lumpur",1900000.0,3,2,1,1,915.0,7.6389218418865905,12911,0,1,0
"KLCC, Kuala Lumpur",2400000.0,2,2,1,1,1006.0,7.77766102349935,8694,1,0,0
"Setapak, Kuala Lumpur",380000.0,4,2,2,1,950.0,5.993961427306569,2538,0,0,1
"KLCC, Kuala Lumpur",1198000.0,2,1,1,1,764.0,7.358233794777184,8694,1,0,0
"KLCC, Kuala Lumpur",1000000.0,0,1,1,1,657.0,7.328483323749648,12911,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",1280000.0,4,3,2,3,25.0,10.843514342086866,2861,0,1,0
"KLCC, Kuala Lumpur",1780000.0,1,1,1,1,728.0,7.802231779222519,8694,1,0,0
"KLCC, Kuala Lumpur",2300000.0,1,1,1,1,1023.0,7.718369598669984,12911,0,1,0
"Sungai Besi, Kuala Lumpur",1340000.0,5,6,4,3,24.0,10.930144251866519,2861,0,1,0
"Sungai Besi, Kuala Lumpur",1600000.0,5,6,4,3,10.0,11.982935344196433,2861,0,1,0
"KLCC, Kuala Lumpur",1000000.0,1,1,1,1,751.0,7.194855624340748,12911,0,1,0
"KLCC, Kuala Lumpur",800000.0,3,3,1,1,1055.0,6.632388841952841,8694,1,0,0
"Sentul, Kuala Lumpur",320000.0,4,2,2,1,646.0,6.207293486055753,2538,0,0,1
"KLCC, Kuala Lumpur",3600000.0,4,5,2,1,3897.0,6.829564012606988,12911,0,1,0
"Bukit Bintang, Kuala Lumpur",6000000.0,5,5,2,1,4157.0,7.275413681374811,12911,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",1090000.0,3,2,2,3,24.0,10.723656441963604,2861,0,1,0
"KLCC, Kuala Lumpur",1250000.0,4,4,2,1,1378.0,6.811367450508208,8694,1,0,0
"KLCC, Kuala Lumpur",2300000.0,1,2,1,1,1023.0,7.718369598669984,12911,0,1,0
